key,source_language,target_language
app.pageTitles.search,Suche,البحث
app.pageTitles.events,Veranstaltungen,الأخبار
app.pageTitles.extras,Angebote,
app.pageTitles.landing,Ortsauswahl,أين أنت؟
app.pageTitles.disclaimer,Impressum und Kontakt,هيئة التحرير وجهة الاتصال
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,Integreat - هيئة التحرير وجهة الاتصال
app.pageTitles.pois,Points of Interest,
app.pageTitles.notFound,Seite nicht gefunden,لم يتم العثور على الصفحة
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.",تطبيق إنتجريت هو دليلك الرقمي لألمانيا. تجد فيه معلومات وأحداث محلية ويقدم لك المشورة. دائمًا مُحدَّثة وبلغتك.
categories.createPdf,PDF erstellen,إنشاء ملف PDF
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,للأسف، لغتك ليست متاحة.
common.chooseALanguage,Wähle eine Sprache.,اختار اللغة.
common.lastUpdate,Letzte Änderung: ,اخر تحديث: 
dashboard.localInformation,Lokale Informationen,
dashboard.offers,Angebote,
dashboard.events,Veranstaltungen,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,للأسف، لغتك ليست متاحة.
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,للأسف، لم يتم العثور على مدينتك.
error.notFound.category,Diese Seite wurde leider nicht gefunden.,لا يوجد سجَّلات جديدة
error.notFound.event,Dieses Event wurde leider nicht gefunden.,للأسف، لم يتم العثور على هذا الحدث.
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,
error.tryAgain,Erneut versuchen,
