key,source_language,target_language
app.pageTitles.search,Suche,Pretraživanje
app.pageTitles.events,Veranstaltungen,Događanja
app.pageTitles.extras,Angebote,Ponude
app.pageTitles.landing,Ortsauswahl,Odabir mjesta
app.pageTitles.disclaimer,Impressum und Kontakt,Impresum i kontakt
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,Impresum i kontakt - Integreat
app.pageTitles.pois,Points of Interest,Zanimljive točke
app.pageTitles.notFound,Seite nicht gefunden,Stranica nije pronađena
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.","Integreat je vaš digitalni vodič za Njemačku. Pronađite lokalne informacije, događanja i savjetovanje. Uvijek s najaktualnijim podatcima i na vašem jeziku."
categories.createPdf,PDF erstellen,Kreiraj PDF
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,Tvoj jezik ovdje nažalost nije dostupan.
common.chooseALanguage,Wähle eine Sprache.,Odaberi jezik.
common.lastUpdate,Letzte Änderung: ,Zadnja promjena: 
dashboard.localInformation,Lokale Informationen,Lokalne informacije
dashboard.offers,Angebote,Ponude
dashboard.events,Veranstaltungen,Događanja
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,Tvoj jezik ovdje nažalost nije dostupan.
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,Ovaj grad nažalost nije pronađen.
error.notFound.category,Diese Seite wurde leider nicht gefunden.,Ova stranica nažalost nije pronađena.
error.notFound.event,Dieses Event wurde leider nicht gefunden.,Ovo događanje nažalost nije pronađeno.
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,Ova ponuda nažalost nije pronađena.
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,Ova zanimljiva točka nažalost nije pronađena.
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,Ova stranica nažalost nije pronađena.
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,Veza sa serverom se prekinula.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,Upit se nije mogao obraditi.
