key,source_language,target_language
app.pageTitles.search,Suche,Căutare
app.pageTitles.events,Veranstaltungen,Evenimente
app.pageTitles.extras,Angebote,Oferte
app.pageTitles.landing,Ortsauswahl,Alegerea locației
app.pageTitles.disclaimer,Impressum und Kontakt,Caseta tehnică și contact
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,Caseta tehnică și contact - Integreat
app.pageTitles.pois,Points of Interest,Points of Interest
app.pageTitles.notFound,Seite nicht gefunden,Pagină nu a fost găsită
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.","Integreat este ghidul dvs. digital pentru Germania. Găsiți informații locale, evenimente și consiliere. Acestea sunt întotdeauna la zi și în limba dvs."
categories.createPdf,PDF erstellen,Creați PDF
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,"Din păcate, aici nu este disponibilă limba ta."
common.chooseALanguage,Wähle eine Sprache.,Alege o limbă.
common.lastUpdate,Letzte Änderung: ,Ultima modificare: 
dashboard.localInformation,Lokale Informationen,Informații locale
dashboard.offers,Angebote,Oferte
dashboard.events,Veranstaltungen,Evenimente
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,"Aici nu este disponibilă această limbă, din păcate."
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,"Acest oraș nu a fost găsit, din păcate."
error.notFound.category,Diese Seite wurde leider nicht gefunden.,"Această pagină nu a fost găsită, din păcate."
error.notFound.event,Dieses Event wurde leider nicht gefunden.,"Acest eveniment nu a fost găsit, din păcate."
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,"Această ofertă nu a fost găsită, din păcate."
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,"Acest Point of Interest nu a fost găsit, din păcate."
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,"Această pagină nu a fost găsită, din păcate."
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,Conectarea la server a eșuat.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,Cererea nu a putut fi prelucrată.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,Răspunsul serverului nu putut fi prelucrat.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,A apărut o eroare necunoscută.
error.tryAgain,Erneut versuchen,Încercați din nou
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,"Pagina nu a putut fi încărcată, din păcate."
error.chooseALanguage,Wähle eine Sprache:,Alege o limbă:
error.goTo.start,Zur Startseite,Spre pagina de start
error.goTo.categories,Zu den Kategorien,Spre categorii
error.goTo.events,Zu den Veranstaltungen,Spre evenimente
error.goTo.extras,Zu den Angeboten,Spre oferte
error.pageTitle,Fehler,Erori
error.generalError,Ein Fehler ist aufgetreten,A apărut o eroare
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,"Din păcate, schimbarea limbii a eșuat."
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,Limba selectată nu este disponibilă offline. Este necesară o conexiune activă la internet.
