key,source_language,target_language
app.pageTitles.search,Suche,Recherche
app.pageTitles.events,Veranstaltungen,Événements
app.pageTitles.extras,Angebote,Offres
app.pageTitles.landing,Ortsauswahl,Sélection du lieu
app.pageTitles.disclaimer,Impressum und Kontakt,Mentions légales et contact
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,Mentions légales et contact - Integreat
app.pageTitles.pois,Points of Interest,Points of Interest
app.pageTitles.notFound,Seite nicht gefunden,Page introuvable
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.","Integreat est votre guide numérique pour l'Allemagne. Vous y trouverez des informations locales, des événements et des conseils, toujours à jour et dans votre langue."
categories.createPdf,PDF erstellen,Créer PDF
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,"Malheureusement, ta langue n'est pas disponible ici."
common.chooseALanguage,Wähle eine Sprache.,Choisis une langue.
common.lastUpdate,Letzte Änderung: ,Dernière modification : 
dashboard.localInformation,Lokale Informationen,Informations locales
dashboard.offers,Angebote,Offres
dashboard.events,Veranstaltungen,Événements
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,"Malheureusement, cette langue n'est pas disponible ici."
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,"Malheureusement, cette ville est introuvable."
error.notFound.category,Diese Seite wurde leider nicht gefunden.,"Malheureusement, cette page est introuvable."
error.notFound.event,Dieses Event wurde leider nicht gefunden.,"Malheureusement, cet événement est introuvable."
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,"Malheureusement, cette offre est introuvable."
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,"Malheureusement, ce point of interest est introuvable."
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,"Malheureusement, cette page est introuvable."
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,Échec de la connexion au serveur.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,Impossible de traiter la demande.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,Impossible de traiter la réponse du serveur.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,Une erreur inconnue s'est produite.
error.tryAgain,Erneut versuchen,Essayer à nouveau
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,"Malheureusement, la page n'a pas pu être chargée."
error.chooseALanguage,Wähle eine Sprache:,Choisis une langue :
error.goTo.start,Zur Startseite,Vers la page de démarrage
error.goTo.categories,Zu den Kategorien,Vers les catégories
error.goTo.events,Zu den Veranstaltungen,Vers les événements
error.goTo.extras,Zu den Angeboten,Vers les offres
error.pageTitle,Fehler,Erreur
error.generalError,Ein Fehler ist aufgetreten,Une erreur s'est produite
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,"Malheureusement, le changement de langue a échoué."
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,La langue sélectionnée n'est pas disponible hors ligne. Une connexion Internet active est requise.
events.location,Standort,Lieu
events.date,Datum,Date
events.events,Veranstaltungen,Événements
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,Il n'y a actuellement aucun événement.
extras.offers,Angebote,Offres
feedback.technicalTopics,Technische Funktionen,Fonctions techniques
feedback.contentOfCity,Inhalte von {{city}},Contenu de {{city}}
feedback.contentOfExtra,"Angebot ""{{extra}}""",Offre « {{extra}} »
feedback.disclaimer,Kontakt und Impressum,Contact et mentions légales
feedback.searchFor,Suche nach,Rechercher
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""",Contenu de la page « {{page}} »
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""",Contenu de l'événement « {{event}} »
feedback.send,Abschicken,Envoyer
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,Une erreur s'est produite lors de l'envoi de l'avis.
feedback.feedback,Feedback,Avis
feedback.positiveComment,Was war hilfreich?,Qu'est-ce qui a été utile ?
feedback.negativeComment,Was können wir besser machen?,Que pouvons-nous améliorer ?
feedback.feedbackType,Wofür ist das Feedback?,À quoi sert de donner son avis ?
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,Est-ce que cette page est utile ?
feedback.useful,Hilfreich,Utile
feedback.notUseful,Nicht hilfreich,Pas utile
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,"Malheureusement, nous n'avons trouvé aucun résultat."
feedback.yourFeedback,Ihr Feedback...,Votre avis...
feedback.informationNotFound,Nicht das Richtige gefunden?,Vous n'avez pas trouvé ce qu'il vous faut ?
feedback.wantedInformation,Welche Informationen fehlen hier?,Quelles sont les informations manquantes ici ?
feedback.feedbackSent,Feedback abgeschickt,Avis envoyé
feedback.thanksMessage,"Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die Integreat-App zu verbessern. Wir würden uns über weiteres Feedback freuen.",Nous vous remercions d'avoir donné votre avis. Cela nous aidera à améliorer notre contenu et l'application Integreat. Nous serions heureux de recevoir d'autres commentaires.
feedback.close,Schließen,Fermer
feedback.negativeRating,Diese Seite ist nicht hilfreich,Cette page n'est pas utile
feedback.positiveRating,Diese Seite ist hilfreich,Cette page est utile
header.settings,Einstellungen,Paramètres
header.share,Teilen,Partager
header.shareMessage,Gerade gefunden:,Tout juste trouvé :
header.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,Le partage du contenu a malheureusement échoué.
header.disclaimer,Impressum,Mentions légales
intro.search,Suche,Recherche
intro.searchDescription,Anhand von Schlagwörtern schnell die richtige Information finden,Trouvez rapidement la bonne information à l'aide de mots-clés
intro.languageChange,Sprachwechsel,Changement de langue
intro.languageChangeDescription,Einfaches Umstellen der Sprache einzelner Seiten,Réglage facile de la langue des différentes pages
intro.events,Veranstaltungen,Événements
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,Actualités et rendez-vous dans les environs
intro.offers,Angebote,Offres
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung","Recherche d'emploi, recherche de stage et plus encore dans la région"
intro.inquiryTitle,Einstellungen,Paramètres
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der Integreat-App, ...","En cliquant sur « {{accept}} », j'autorise l'application Integreat..."
intro.sentryTitle,App-Stabilität,Stabilité de l'application
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten Integreat zu verbessern,...à améliorer Integreat grâce à l'envoi automatique de rapports d'erreurs
intro.pushNewsTitle,Push-Benachrichtigungen,Notifications push
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen News zu senden,...à envoyer des notifications push sur l'actualité locale
intro.proposeCitiesTitle,Nahegelegene Orte,Lieux proches
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,...à me proposer des lieux proches grâce à ma géolocalisation
intro.skip,Überspringen,Passer
intro.next,Weiter,Suite
intro.cancel,Abbrechen,Annuler
intro.save,Speichern,Enregistrer
intro.customize,Anpassen,Modifier
intro.decline,Ablehnen,Refuser
intro.accept,Akzeptieren,Accepter
intro.privacyPolicy,Datenschutzerklärung,Déclaration de confidentialité
landing.searchCity,Ort suchen,Chercher un lieu
landing.nearbyPlaces,Orte in der Nähe,Lieux à proximité
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,Aucun lieu trouvé à proximité.
landing.alert,Hinweis,Remarque
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","Afin de pouvoir afficher les lieux à proximité, la géolocalisation doit être activée."
layout.imprintAndContact,Impressum und Kontakt,Mentions légales et contact
layout.privacy,Datenschutz,Protection des données
layout.offers,Angebote,Offres
layout.categories,Kategorien,Catégories
layout.events,Veranstaltungen,Événements
layout.noEvents,Keine Veranstaltungen,Aucun événement
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Non disponible dans d'autres langues
layout.noTranslation,Keine Übersetzung verfügbar,Aucune traduction disponible
layout.search,Suchen,Rechercher
layout.changeLocation,Standort wechseln,Modifier le lieu
layout.changeLanguage,Sprache wechseln,Modifier la langue
search.searchCategory,Suche nach einer Kategorie,Chercher une catégorie
settings.sentryTitle,App-Stabilität,Stabilité de l'application
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die Integreat-App verbessern,Améliorer l'application Integreat grâce à l'envoi automatique de rapports d'erreur
settings.pushNewsTitle,Push-Benachrichtigungen,Notifications push
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen News erhalten,Recevoir des notifications push sur l'actualité locale
settings.proposeCitiesTitle,Nahegelegene Orte,Lieux proches
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,Obtenir des propositions des lieux à proximité grâce à la géolocalisation
settings.about,Über Integreat,À propos d'Integreat
settings.privacyPolicy,Datenschutzerklärung,Déclaration de confidentialité
settings.version,Version: {{version}},Version : {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Licences en open source
snackbar.grantPermission,Erlauben,Autoriser
snackbar.deactivateFeature,Feature deaktivieren,Désactiver fonction
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,Aucune offre disponible
wohnen.noOffersAvailable,Keine Angebote verfügbar.,Aucune offre disponible.
wohnen.values.runningServices.heating,Heizung,Chauffage
wohnen.values.runningServices.water,Wasser/Abwasser,Eau/eaux usées
wohnen.values.runningServices.garbage,Müllabfuhr,Ramassage des ordures
wohnen.values.runningServices.chimney,Kaminkehrer,Ramoneurs
wohnen.values.runningServices.other,Sonstiges,Divers
wohnen.values.additionalServices.garage,Garage/Stellplatz,Garage/place de stationnement
wohnen.values.additionalServices.other,Sonstiges,Divers
wohnen.values.rooms.kitchen,Küche,Cuisine
wohnen.values.rooms.bath,Bad,Salle de bain
wohnen.values.rooms.wc,WC,WC
wohnen.values.rooms.child1,Kinderzimmer 1,Chambre d'enfant 1
wohnen.values.rooms.child2,Kinderzimmer 2,Chambre d'enfant 2
wohnen.values.rooms.child3,Kinderzimmer 3,Chambre d'enfant 3
