key,source_language,target_language
app.pageTitles.search,Suche,Search
app.pageTitles.events,Veranstaltungen,Events
app.pageTitles.extras,Angebote,Offers
app.pageTitles.landing,Ortsauswahl,Location selection
app.pageTitles.disclaimer,Impressum und Kontakt,Imprint and contact
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,Imprint and Contact - Integreat
app.pageTitles.pois,Points of Interest,Points of Interest
app.pageTitles.notFound,Seite nicht gefunden,Seite konnte nicht gefunden werden.
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.","Integreat is your digital guide to life in Germany. Discover local information, events and counselling. Always up to date and available in your language."
categories.createPdf,PDF erstellen,Create PDF
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,"Sorry, but your language is not available here."
common.chooseALanguage,Wähle eine Sprache.,Choose a language.
common.lastUpdate,Letzte Änderung: ,Last Update: 
dashboard.localInformation,Lokale Informationen,Local Information
dashboard.offers,Angebote,Offers
dashboard.events,Veranstaltungen,Events
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,"Sorry, but this language is not available here."
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,"Sorry, but this city could not be found."
error.notFound.category,Diese Seite wurde leider nicht gefunden.,"Sorry, but the requested page could not be found."
error.notFound.event,Dieses Event wurde leider nicht gefunden.,"Sorry, but this event could not be found."
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,"Sorry, but this offer could not be found."
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,"Sorry, but this Point of Interest could not be found."
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,This page could not be found.
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,The connection to the server failed.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,The request could not be processed.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,An error occurred while processing the server's response.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,An unknown error occurred.
error.tryAgain,Erneut versuchen,Try again
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,"Sorry, but the requested page could not be loaded."
error.chooseALanguage,Wähle eine Sprache:,Choose a language:
error.goTo.start,Zur Startseite,Go to Start
error.goTo.categories,Zu den Kategorien,Go to Categories
error.goTo.events,Zu den Veranstaltungen,Go to events
error.goTo.extras,Zu den Angeboten,Go to Offers
error.pageTitle,Fehler,Error
error.generalError,Ein Fehler ist aufgetreten,An error occurred
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,"Unfortunately, the app was not able to change the language."
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,The selected langauge is not available if you are offline. An active internet connection is required.
events.location,Standort,Location
events.date,Datum,Date
events.events,Veranstaltungen,Events
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,No recent events available.
extras.offers,Angebote,Offers
feedback.technicalTopics,Technische Funktionen,Technical topics
feedback.contentOfCity,Inhalte von {{city}},Contents of {{city}}
feedback.contentOfExtra,"Angebot ""{{extra}}""",
feedback.disclaimer,Kontakt und Impressum,Imprint and contact
feedback.searchFor,Suche nach,Search for
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""",Content of the site '{{page}}'
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""",
feedback.send,Abschicken,Send
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,An error occurred while sending feedback.
feedback.feedback,Feedback,Feedback
feedback.positiveComment,Was war hilfreich?,What was helpful?
feedback.negativeComment,Was können wir besser machen?,What can we improve?
feedback.feedbackType,Wofür ist das Feedback?,What is the feedback for?
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,Is this site useful?
feedback.useful,Hilfreich,Useful
feedback.notUseful,Nicht hilfreich,Not useful
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,"Sorry, we could not find matching results."
feedback.yourFeedback,Ihr Feedback...,Your feedback...
