key,source_language,target_language
app.pageTitles.search,Suche,جستجو
app.pageTitles.events,Veranstaltungen,تازه​ها
app.pageTitles.extras,Angebote,
app.pageTitles.landing,Ortsauswahl,
app.pageTitles.disclaimer,Impressum und Kontakt,مجوز ‎و اطلاعات تماس
app.pageTitles.mainDisclaimer,Impressum und Kontakt - Integreat,Integreat - مجوز ‎و اطلاعات تماس
app.pageTitles.pois,Points of Interest,
app.pageTitles.notFound,Seite nicht gefunden,صفحه پیدا نشد
app.metaDescription,"Integreat ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Events und Beratung. Immer aktuell und in Ihrer Sprache.",Integreat‏ راهنمای دیجیتالی شما در مورد آلمان است. اطلاعات، رویدادها و مشاوره محلی را بیابید. همیشه به روز و به زبان شما.
categories.createPdf,PDF erstellen,پی دی اف بسازید
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,متاسفانه زبان شما در اینجا موجود نیست.
common.chooseALanguage,Wähle eine Sprache.,یک زبان را انتخاب کنید.
common.lastUpdate,Letzte Änderung: ,آخرین به روزآوری: 
dashboard.localInformation,Lokale Informationen,
dashboard.offers,Angebote,
dashboard.events,Veranstaltungen,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,متاسفانه زبان شما در اینجا موجود نیست.
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,متاسفانه شهر شما پیدا نشد.
error.notFound.category,Diese Seite wurde leider nicht gefunden.,متاسفانه این صفحه پیدا نشد.
error.notFound.event,Dieses Event wurde leider nicht gefunden.,
error.notFound.extra,Dieses Angebot wurde leider nicht gefunden.,
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,
error.tryAgain,Erneut versuchen,
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,خطایی هنگام بارگیری محتوا رخ داده است.
error.chooseALanguage,Wähle eine Sprache:,یک زبان را انتخاب کنید
error.goTo.start,Zur Startseite,
error.goTo.categories,Zu den Kategorien,
error.goTo.events,Zu den Veranstaltungen,
error.goTo.extras,Zu den Angeboten,
error.pageTitle,Fehler,خطا
error.generalError,Ein Fehler ist aufgetreten,خطایی رخ داده است
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,
events.location,Standort,موقعیت مکانی
events.date,Datum,تاریخ
events.events,Veranstaltungen,
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,هیچ رویداد جدیدی موجود نیست.
extras.offers,Angebote,
feedback.technicalTopics,Technische Funktionen,عملکردهای فنی
feedback.contentOfCity,Inhalte von {{city}},محتویاتِ
feedback.contentOfExtra,"Angebot ""{{extra}}""",
feedback.disclaimer,Kontakt und Impressum,مجوز ‎و اطلاعات تماس
feedback.searchFor,Suche nach,جستجو برای
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""",محتوای صفحه
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""",
feedback.send,Abschicken,فرستادن
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,
feedback.feedback,Feedback,بازخورد
feedback.positiveComment,Was war hilfreich?,چه چیز مفید بود؟
feedback.negativeComment,Was können wir besser machen?,چه چیز را می توانیم بهتر کنیم؟
feedback.feedbackType,Wofür ist das Feedback?,بازخورد در چه زمینه ای است؟
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,
feedback.useful,Hilfreich,
feedback.notUseful,Nicht hilfreich,
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,متاسفانه هیچ نتیجه مناسبی پیدا نشد.
feedback.yourFeedback,Ihr Feedback...,
feedback.informationNotFound,Nicht das Richtige gefunden?,آنچه را که جستجو می کردید پیدا نکردید؟
