"key","source_language","target_language"
"app.pageTitles.search","Suche","Pretraživanje"
"app.pageTitles.events","Veranstaltungen","Događanja"
"app.pageTitles.offers","Angebote","Ponude"
"app.pageTitles.landing","Ortsauswahl","Odabir mjesta"
"app.pageTitles.disclaimer","Impressum und Kontakt","Impresum i kontakt"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","Impresum i kontakt - {{appName}}"
"app.pageTitles.pois","Points of Interest","Zanimljive točke"
"app.pageTitles.notFound","Seite nicht gefunden","Stranica nije pronađena"
"app.pageTitles.tunews","tünews","tünews"
"app.pageTitles.localNews","Lokale Nachrichten",
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} je vaš digitalni vodič za Njemačku. Pronađite lokalne informacije, događanja i savjetovanje. Uvijek s najaktualnijim podatcima i na vašem jeziku."
"categories.createPdf","PDF erstellen","Kreiraj PDF"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","Tvoj jezik ovdje nažalost nije dostupan."
"common.chooseALanguage","Wähle eine Sprache.","Odaberi jezik."
"common.lastUpdate","Letzte Änderung:","Zadnja promjena: "
"dashboard.localInformation","Lokale Informationen","Lokalne informacije"
"dashboard.offers","Angebote","Ponude"
"dashboard.events","Veranstaltungen","Događanja"
"dashboard.news","Nachrichten",
"dashboard.newsAlternative","Neuigkeiten",
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","Tvoj jezik ovdje nažalost nije dostupan."
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","Ovaj grad nažalost nije pronađen."
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","Ova stranica nažalost nije pronađena."
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","Ovo događanje nažalost nije pronađeno."
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","Ova ponuda nažalost nije pronađena."
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","Ova zanimljiva točka nažalost nije pronađena."
