"key","source_language","target_language"
"app.pageTitles.events","Termine","Fechas"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} es su asistente digital de los malteses. Aquí encontrará información local, fechas y consejos de su institución. ¡Siempre al día y en su idioma!"
"dashboard.events","Termine","Fechas"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Desgraciadamente no se ha encontrado esta fecha."
"error.goTo.events","Zu den Terminen","Ir a fechas"
"events.events","Termine","Fechas"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","Actualmente no hay fechas."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Contenido de la fecha ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} es su asistente digital de los malteses."
"intro.events","Termine","Fechas"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Eventos actuales y fechas"
"layout.events","Termine","Fechas"
"layout.noEvents","Keine Termine","No hay fechas"
