"key","source_language","target_language"
"app.pageTitles.events","Termine","Rendez-vous"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} est votre assistant numérique de Malteser. Vous y trouverez des informations locales, des rendez-vous et des conseils de votre établissement. Toujours actuel et dans votre langue !"
"dashboard.events","Termine","Rendez-vous"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Malheureusement, ce rendez-vous est introuvable."
"error.goTo.events","Zu den Terminen","Vers les rendez-vous"
"events.events","Termine","Rendez-vous"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","Il n'y a actuellement aucun rendez-vous."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Contenu du rendez-vous ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} est votre assistant numérique de Malteser"
"intro.events","Termine","Rendez-vous"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Rendez-vous actuels et évènements"
"layout.events","Termine","Rendez-vous"
"layout.noEvents","Keine Termine","Aucun rendez-vous"
