"key","source_language","target_language"
"app.pageTitles.events","Termine","Randevû"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} alîkarê dîjîtalê we ye ji aliyê Malteserê. Li vir hûn ê agahdariya herêmî, randevû û şîretên saziya xwe bibînin. Herdem nûvekirî û bi zimanê xwe!"
"dashboard.events","Termine","Randevû"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Mixabin vê randevûyê nehat dîtin."
"error.goTo.events","Zu den Terminen","Heya randevûyan"
"events.events","Termine","Randevû"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","Niha randevû tuneye"
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Naveroka randevûyê ""{{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}}} alîkarê dîjîtalê we ye ji aliyê Malteserê"
"intro.events","Termine","Randevû"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Randevû û bûyerên niha"
"layout.events","Termine","Randevû"
"layout.noEvents","Keine Termine","Randevû tuneye"
