"key","source_language","target_language"
"app.pageTitles.events","Termine","ملاقاتونه"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} مالټایانو لخوا تاسو سره ډیجیټال کومک دی. دلته تاسو سیمه ییز معلومات، ستاسو د مرکز ملاقاتونه او مشوره پیدا کولی شئ. تل تازه او ستاسو په ژبه کې."
"dashboard.events","Termine","ملاقاتونه"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","له بده مرغه دا ملاقات پیدا نشو."
"error.goTo.events","Zu den Terminen","ملاقاتونو ته تلل"
"events.events","Termine","ملاقاتونه"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","دا مهال کوم ملاقات نشته."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","د ""{{event}}"" ملاقات منځپانګه"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} مالټایانو لخوا ستاسو ډیجیټال کومک دی"
"intro.events","Termine","ملاقاتونه"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","اوسني ملاقاتونه او غونډې"
"layout.events","Termine","ملاقاتونه"
"layout.noEvents","Keine Termine","ملاقاتونه نشته"
