"key","source_language","target_language"
"app.pageTitles.events","Termine","События"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","Приложение {{appName}} – это ваш цифровой помощник от Мальтийского ордена. Он предоставит вам местную информацию, информацию о событиях, а также консультации от вашей организации. Всегда актуальная информация на вашем языке!"
"dashboard.events","Termine","События"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","К сожалению, это событие не было найдено."
"error.goTo.events","Zu den Terminen","К событиям"
"events.events","Termine","События"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","В настоящий момент события отсутствуют."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Содержимое события ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","Приложение {{appName}} является вашим цифровым помощником от Мальтийского ордена"
"intro.events","Termine","События"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Текущие события и мероприятия"
"layout.events","Termine","События"
"layout.noEvents","Keine Termine","События отсутствуют"
