"key","source_language","target_language"
"app.pageTitles.events","Termine","Dhacdooyin"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} waa caawiyahaaga dhijitaal ee Maltese. Halkan waxaad ka heli doontaa macluumaadka deegaanka, taariikho iyo talobixinta hay'addaada. Had iyo jeer waa ay cusbooneysiisan tahay waxayna ku qoran tahay luqaddaada!"
"dashboard.events","Termine","Dhacdooyin"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Nasiib darrose, taariikhdan lama helin."
"error.goTo.events","Zu den Terminen","Aad qeybta dhacdooyinka"
"events.events","Termine","Dhacdooyin"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","Waqti xaadirkan ma jiraan taariikho."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Tusmooyinka dhacdada ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} waa caawiyahaaga dhijitaal ee Maltese"
"intro.events","Termine","Dhacdooyin"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Taariikhaha iyo dhacdooyinka hadda ah"
"layout.events","Termine","Dhacdooyin"
"layout.noEvents","Keine Termine","Dhacdooyin majiraan"
