"key","source_language","target_language"
"app.pageTitles.events","Termine","Termini"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} je digilatni pomoćnik Malteških vitezova. Ovde ćete naći lokalne informacije, termina i savetovanje iz vaše ustanove. Uvek aktuelno i na vašem jeziku!"
"dashboard.events","Termine","Termini"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Ovaj termin nažalost nije pronađen."
"error.goTo.events","Zu den Terminen","Na termine"
"events.events","Termine","Termini"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","Trenutno nema termina."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Sadržaj termina ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} je digilatni pomoćnik Malteških vitezova"
"intro.events","Termine","Termini"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Aktuelni termini i manifestacije"
"layout.events","Termine","Termini"
"layout.noEvents","Keine Termine","Nema termina"
