"key","source_language","target_language"
"app.pageTitles.events","Termine","ኣጋጣሚታት"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} ዲጂታላዊ ሓጋዚኹም ካብቲ Maltese እዩ። ኣብዚ ከባብያዊ ሓበሬታ፡ ዕለታትን ምኽርን ካብ ትካልኩም ክትረኽቡ ኢኹም። ንሱ ኩሉግዜ ዝተሓደሰን ብቛንቋኹምን’ዩ!"
"dashboard.events","Termine","ኣጋጣሚታት"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኾይኑ፡ እዚ ዕለት’ዚ ኣይተረኽበን።"
"error.goTo.events","Zu den Terminen","ናብቶም ኣጋጣሚታት"
"events.events","Termine","ኣጋጣሚታት"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","ኣብዚ እዋን’ዚ ዕለታት የለዉን።"
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","ትሕዝቶ ናይቲ ናይ ""{{event}}"" ኣጋጣሚ"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} ዲጂታላዊ ሓጋዚኹም ካብቲ Maltese እዩ"
"intro.events","Termine","ኣጋጣሚታት"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","ህሉው ዕለታትን ኣጋጣሚታትን"
"layout.events","Termine","ኣጋጣሚታት"
"layout.noEvents","Keine Termine","ኣጋጣሚታት የለዉን"
