"key","source_language","target_language"
"app.pageTitles.events","Termine","Etkinlikler"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}}, Malta'daki dijital yardımcınız. Burada, kurumunuzdan yerel bilgiler, etkinlikler ve tavsiyeler bulacaksınız. Her zaman güncel ve kendi dilinizde!"
"dashboard.events","Termine","Etkinlikler"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Bu etkinlik bulunamamaktadır."
"error.goTo.events","Zu den Terminen","Etkinliklere bak"
"events.events","Termine","Etkinlikler"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","Güncel etkinlik bulunmamaktadır."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","""{{event}}"" etkinliğinin içeriği"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} uygulaması Maltalılar için dijital bir yardımcıdır."
"intro.events","Termine","Etkinlikler"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Güncel etkinlik ve organizasyonlar"
"layout.events","Termine","Etkinlikler"
"layout.noEvents","Keine Termine","Etkinlik yok"
