"key","source_language","target_language"
"app.pageTitles.search","Suche","لټون"
"app.pageTitles.events","Veranstaltungen","غونډې"
"app.pageTitles.offers","Angebote","وړاندیزونه"
"app.pageTitles.landing","Ortsauswahl","د ځای انتخاب"
"app.pageTitles.disclaimer","Impressum und Kontakt","خپروونکی او تماس"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","خپروونکی او تماس - {{appName}}"
"app.pageTitles.pois","Points of Interest","د علاقې نکتې"
"app.pageTitles.notFound","Seite nicht gefunden","پاڼه پیدا نشوه"
"app.pageTitles.tunews","tünews","تو نیوز"
"app.pageTitles.localNews","Lokale Nachrichten","سیمه ییز خبرونه"
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} آلمان لپاره ستاسو ډیجیټال لارښود دی. په دې کې تاسو سیمه ییز معلومات، غونډې او مشورې موندلی شئ. همېشه تازه معلومات ستاسو په ژبه کې."
"categories.createPdf","PDF erstellen","پي ډي ایف جوړول"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","له بده مرغه ستا ژبه دلته موجوده نده."
"common.chooseALanguage","Wähle eine Sprache.","یوه ژبه انتخاب کړه."
"common.lastUpdate","Letzte Änderung:","آخري تغیر:"
"dashboard.localInformation","Lokale Informationen","سیمه ییز معلومات"
"dashboard.offers","Angebote","وړاندیزونه"
"dashboard.events","Veranstaltungen","غونډې"
"dashboard.news","Nachrichten","خبرونه"
"dashboard.newsAlternative","Neuigkeiten","نوې زړې"
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","دا ژبه له بده مرغه دلته موجوده نده."
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","دا ښار له بده مرغه پیدا نشو."
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","دا پاڼه له بده مرغه پیدا نشوه."
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","دا غونډه له بده مرغه پیدا نشوه."
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","دا وړاندیز له بده مرغه پیدا نشو."
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","دا د علاقې نکته له بده مرغه پیدا نشوه."
"error.pageNotFound","Diese Seite wurde leider nicht gefunden.","دا پاڼه له بده مرغه پیدا نشوه."
"error.networkConnectionFailed","Die Verbindung zum Server ist fehlgeschlagen.","له سرور سره پیوستون ناکام شو."
"error.networkRequestFailed","Die Anfrage konnte nicht bearbeitet werden.","دا غوښتنه پروسس نکړی شوه."
"error.responseMappingFailed","Die Antwort des Servers konnte nicht verarbeitet werden.","د سرور ځواب پروسس نکړی شو."
"error.unknownError","Ein unbekannter Fehler ist aufgetreten.","یوه نامعلومه اشتباه رامینځته شوه."
"error.tryAgain","Erneut versuchen","یو ځل بیا کوښښ کول"
"error.loadingFailed","Die Seite konnte leider nicht geladen werden.","له بده مرغه پاڼه ډاونلوډ نکړی شوه."
"error.chooseALanguage","Wähle eine Sprache:","یوه ژبه انتخاب کړه:"
"error.goTo.start","Zur Startseite","مخپاڼې ته تلل"
"error.goTo.categories","Zu den Kategorien","کټګوریو ته تلل"
"error.goTo.events","Zu den Veranstaltungen","غونډو ته تلل"
"error.goTo.offers","Zu den Angeboten","وړاندیزونو ته تلل"
"error.pageTitle","Fehler","اشتباه"
"error.generalError","Ein Fehler ist aufgetreten","یوه اشتباه رامینځته شوه"
"error.languageSwitchFailedTitle","Leider ist der Sprachwechsel fehlgeschlagen.","له بده مرغه د ژبې انتخاب ناکام شو."
"error.languageSwitchFailedMessage","Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.","انتخاب شوې ژبه آفلاین موجوده نده. د انټرنیټ فعال پیوستون اړین دی."
"events.location","Standort","ځای"
"events.date","Datum","نېټه"
"events.events","Veranstaltungen","غونډې"
"events.currentlyNoEvents","Es gibt aktuell keine Veranstaltungen.","دا مهال کومې غونډې نشته."
"feedback.technicalTopics","Technische Funktionen","تخنیکي فعالیت"
"feedback.contentOfCity","Inhalte von {{city}}","د {{city}} منځپانګه"
"feedback.contentOfOffer","Angebot ""{{offer}}""","""{{offer}}"" وړاندیز"
"feedback.disclaimer","Kontakt und Impressum","د لټون"
"feedback.searchFor","Suche nach",
"feedback.contentOfPage","Inhalt der Seite ""{{page}}""","د ""{{page}}"" پاڼې منځپانګه"
"feedback.contentOfEvent","Inhalt der Veranstaltung ""{{event}}""","د ""{{event}}"" غونډې منځپانګه"
"feedback.send","Abschicken","لېږل"
"feedback.failedSendingFeedback","Beim Senden des Feedbacks ist ein Fehler aufgetreten.","د تبصرې په لېږلو کې یوه اشتباه رامینځته شوه."
"feedback.feedback","Feedback","تبصره"
"feedback.positiveComment","Was war hilfreich?","څشی ګټور وو؟"
"feedback.negativeComment","Was können wir besser machen?","مونږ څشی بهترولی شو؟"
"feedback.feedbackType","Wofür ist das Feedback?","تبصره د څه لپاره ده؟"
"feedback.isThisSiteUseful","Ist diese Seite hilfreich?","آیا دا پاڼه ګټوره ده؟"
"feedback.useful","Hilfreich","ګټوره ده"
"feedback.notUseful","Nicht hilfreich","ګټوره نده"
"feedback.nothingFound","Es wurden leider keine passenden Ergebnisse gefunden.","له بده مرغه مناسبې نتیجې پیدا نشوې."
"feedback.yourFeedback","Ihr Feedback...","ستاسو تبصره..."
"feedback.informationNotFound","Nicht das Richtige gefunden?","آیا صحیح پیدا نشو؟"
"feedback.wantedInformation","Welche Informationen fehlen hier?","کوم معلومات پکې نشته؟"
"feedback.feedbackSent","Feedback abgeschickt","تبصره ولېږل شوه"
"feedback.thanksMessage","Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.","ستاسو د تبصرې لپاره ډېره مننه. په دې توګه تاسو مونږ سره مرسته کوئ چې مونږ خپل ایپ--{{appName}} او د هغې منځپانګه بهتره کړو. مونږ ستاسو نورو تبصرو او نظرونو ته سترګې په لار یُو."
"feedback.close","Schließen","پای ته رسول"
"feedback.negativeRating","Diese Seite ist nicht hilfreich","دا پاڼه ګټوره نده"
"feedback.positiveRating","Diese Seite ist hilfreich","دا پاڼه ګټوره ده"
"intro.integreat","{{appName}}","{{appName}}"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Guide für Deutschland","{{appName}} آلمان لپاره ستاسو ډیجیټال لارښود دی."
"intro.search","Suche","لټون"
