"key","source_language","target_language"
"app.pageTitles.search","Suche","Pretraga"
"app.pageTitles.events","Veranstaltungen","Manifestacije"
"app.pageTitles.offers","Angebote","Ponude"
"app.pageTitles.landing","Ortsauswahl","Odabir mesta"
"app.pageTitles.disclaimer","Impressum und Kontakt","Impresum i kontakt"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","Impresum i kontakt - {{appName}}"
"app.pageTitles.pois","Points of Interest","Points of Interest"
"app.pageTitles.notFound","Seite nicht gefunden","Stranica nije pronađena"
"app.pageTitles.tunews","tünews","tünews"
"app.pageTitles.localNews","Lokale Nachrichten","Lokalne vesti"
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} je vaš digitalni vodič za Nemačku. Pronađite lokalne informacije, manifestacije i savetovanje. Uvek aktuelno i na vašem jeziku."
"categories.createPdf","PDF erstellen","Izradite PDF"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","Tvoj jezik nažalost ovde nije dostupan."
"common.chooseALanguage","Wähle eine Sprache.","Odaberi jezik."
"common.lastUpdate","Letzte Änderung:","Zadnja promena:"
"dashboard.localInformation","Lokale Informationen","Lokalne informacije"
"dashboard.offers","Angebote","Ponude"
"dashboard.events","Veranstaltungen","Manifestacije"
"dashboard.news","Nachrichten","Vesti"
"dashboard.newsAlternative","Neuigkeiten","Novosti"
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","Ovaj jezik nažalost ovde nije dostupan."
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","Ovaj grad nažalost nije pronađen."
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","Ova stranica nažalost nije pronađena."
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","Ovaj događaj nažalost nije pronađen."
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","Ova ponuda nažalost nije pronađena."
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","Ovaj Point of Interest nažalost nije pronađen."
"error.pageNotFound","Diese Seite wurde leider nicht gefunden.","Ova stranica nažalost nije pronađena."
"error.networkConnectionFailed","Die Verbindung zum Server ist fehlgeschlagen.","Veza sa serverom nije uspela."
"error.networkRequestFailed","Die Anfrage konnte nicht bearbeitet werden.","Upit nije mogao da bude obrađen."
"error.responseMappingFailed","Die Antwort des Servers konnte nicht verarbeitet werden.","Odgovor servera nije mogao da bude obrađen."
"error.unknownError","Ein unbekannter Fehler ist aufgetreten.","Pojavila se nepoznata greška."
"error.tryAgain","Erneut versuchen","Pokušajte ponovo"
"error.loadingFailed","Die Seite konnte leider nicht geladen werden.","Stranica nažalost nije mogla da bude učitana."
"error.chooseALanguage","Wähle eine Sprache:","Odaberi jezik:"
"error.goTo.start","Zur Startseite","Na početnu stranicu"
"error.goTo.categories","Zu den Kategorien","Na kategorije"
"error.goTo.events","Zu den Veranstaltungen","Na manifestacije"
"error.goTo.offers","Zu den Angeboten","Na ponude"
"error.pageTitle","Fehler","Greška"
"error.generalError","Ein Fehler ist aufgetreten","Pojavila se greška"
"error.languageSwitchFailedTitle","Leider ist der Sprachwechsel fehlgeschlagen.","Promena jezika nažalost nije uspela."
"error.languageSwitchFailedMessage","Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.","Odabrani jezik nažalost nije dostupan oflajn. Potrebna je aktivna internetska veza."
"events.location","Standort","Lokacija"
"events.date","Datum","Datum"
"events.events","Veranstaltungen","Manifestacije"
"events.currentlyNoEvents","Es gibt aktuell keine Veranstaltungen.","Trenutno nema manifestacija."
"feedback.technicalTopics","Technische Funktionen","Tehničke funkcije"
"feedback.contentOfCity","Inhalte von {{city}}","Sadržaji u gradu {{city}}"
"feedback.contentOfOffer","Angebot ""{{offer}}""","Ponuda ""{{offer}}"""
"feedback.disclaimer","Kontakt und Impressum","Kontakt i impresum"
"feedback.searchFor","Suche nach","Pretraga za"
"feedback.contentOfPage","Inhalt der Seite ""{{page}}""","Sadržaj stranice ""{{page}}"""
"feedback.contentOfEvent","Inhalt der Veranstaltung ""{{event}}""","Sadržaj manifestacije ""{{event}}"""
"feedback.send","Abschicken","Pošaljite"
"feedback.failedSendingFeedback","Beim Senden des Feedbacks ist ein Fehler aufgetreten.","Prilikom slanja povratnih informacija pojavila se greška."
"feedback.feedback","Feedback","Povratne informacije"
"feedback.positiveComment","Was war hilfreich?","Da li vam je bilo od pomoći?"
"feedback.negativeComment","Was können wir besser machen?","Šta možemo bolje da uradimo?"
"feedback.feedbackType","Wofür ist das Feedback?","Čemu služi povratna informacija?"
"feedback.isThisSiteUseful","Ist diese Seite hilfreich?","Da li je ova stranica od pomoći?"
"feedback.useful","Hilfreich","Od pomoći"
"feedback.notUseful","Nicht hilfreich","Nije od pomoći"
"feedback.nothingFound","Es wurden leider keine passenden Ergebnisse gefunden.","Nažalost nisu pronađeni odgovarajući razultati."
"feedback.yourFeedback","Ihr Feedback...","Vaše povratne informacije..."
"feedback.informationNotFound","Nicht das Richtige gefunden?","Niste pronašli ono pravo?"
"feedback.wantedInformation","Welche Informationen fehlen hier?","Koje informacije ovde nedostaju?"
"feedback.feedbackSent","Feedback abgeschickt","Povratne informacije poslane"
"feedback.thanksMessage","Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.","Puno vam hvala za povratne informacije. Time nam pomažete da poboljšamo sadržaje i aplikaciju {{appName}}. Radovali bismo se vašim dodatnim povratnim informacijama."
"feedback.close","Schließen","Zatvorite"
"feedback.negativeRating","Diese Seite ist nicht hilfreich","Ova stranica nije od pomoći"
"feedback.positiveRating","Diese Seite ist hilfreich","Ova stranica je od pomoći"
"intro.integreat","{{appName}}","{{appName}}"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Guide für Deutschland","{{appName}} je vaš digitalni vodič za Nemačku"
"intro.search","Suche","Pretraga"
"intro.searchDescription","Anhand von Schlagwörtern schnell die richtige Information finden","Pomoću ključnih reči brzo pronađite pravu informaciju"
"intro.languageChange","Sprachwechsel","Promena jezika"
"intro.languageChangeDescription","Einfaches Umstellen der Sprache einzelner Seiten","Jednostavna promena jezika pojedinih stranica"
"intro.events","Veranstaltungen","Manifestacije"
"intro.eventsDescription","Aktuelle Veranstaltungen und Termine in der Umgebung","Aktuelne manifestacije i termini u blizini"
"intro.offers","Angebote","Ponude"
"intro.offersDescription","Jobsuche, Praktikasuche und mehr in der Umgebung","Traženje posla, traženje mesta za praksu i još toga u blizini"
"intro.inquiryTitle","Einstellungen","Podešavanja"
"intro.inquiryIntro","Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","klikom na ""{{accept}}"" dozvoljavam aplikaciji {{appName}} ..."
"intro.sentryTitle","App-Stabilität","Stabilnost aplikacije"
"intro.sentryCondition","... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern","... automatskim slanjem izveštaja o padu sistema da se poboljša {{appName}}"
"intro.pushNewsTitle","Push-Benachrichtigungen","Push notifikacije"
"intro.pushNewsCondition","... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden","... da mi se šalju push notifikacije o najnovijim lokalnim vestima"
"intro.proposeCitiesTitle","Nahegelegene Orte","Mesta u blizini"
"intro.proposeCitiesCondition","... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen","... da mi se predlažu mesta u blizini pomoću moje GPS lokacije"
"intro.skip","Überspringen","Preskočite"
"intro.next","Weiter","Nastavite"
"intro.cancel","Abbrechen","Prekinite"
"intro.save","Speichern","Sačuvajte"
"intro.customize","Anpassen","Prilagodite"
"intro.decline","Ablehnen","Odbacite"
"intro.accept","Akzeptieren","Prihvatite"
"intro.privacyPolicy","Datenschutzerklärung","Izjava o zaštiti podataka"
"landing.searchCity","Ort suchen","Tražite mesto"
"landing.nearbyPlaces","Orte in der Nähe","Mesta u blizini"
"landing.noNearbyPlaces","Keine Orte in der Nähe gefunden.","Nije pronađeno nijedno mesto u blizini."
"landing.alert","Hinweis","Napomena"
"landing.locationError","Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","Da biste mogli da prikazujte mesta u blizini, moraju da se aktiviraju usluge lociranja."
"landing.noPermission","Standortzugriff erforderlich","Potreban je pristup lokaciji"
"landing.loading","Bestimme Standort...","Odredi lokaciju..."
"landing.notAvailable","Standortbestimmung deaktiviert","Deaktivirano je određivanje lokacije"
"landing.timeout","Standortbestimmung fehlgeschlagen","Nije uspelo određivanje lokacije"
"landing.refresh","Liste der Orte aktualisieren","Ažurirajte spisak mesta"
"layout.imprintAndContact","Impressum und Kontakt","Impresum i kontakt"
"layout.privacy","Datenschutz","Zaštita podataka"
"layout.offers","Angebote","Ponude"
"layout.localInformation","Lokale Informationen","Lokalne informacije"
"layout.events","Veranstaltungen","Manifestacije"
"layout.noEvents","Keine Veranstaltungen","Nema manifestacija"
"layout.news","Nachrichten","Vesti"
"layout.noLanguages","Nicht verfügbar in anderen Sprachen","Nije dostupno na drugim jezicima"
"layout.noTranslation","Keine Übersetzung verfügbar","Nije dostupan prevod"
"layout.search","Suchen","Tražite"
"layout.changeLocation","Standort wechseln","Promenite lokaciju"
"layout.changeLanguage","Sprache wechseln","Promenite jezik"
"layout.settings","Einstellungen","Podešavanja"
"layout.share","Teilen","Podelite"
"layout.cancel","Abbrechen","Prekinite"
"layout.shareMessage","Gerade gefunden: {{message}}","Upravo pronađeno: {{message}}"
"layout.shareFailDefaultMessage","Das Teilen des Inhalts ist leider fehlgeschlagen.","Delenje sadržaja nažalost nije uspelo."
"layout.disclaimer","Impressum","Impresum"
"news.news","Nachrichten","Vesti"
"news.newsAlternative","Neuigkeiten","Novosti"
"news.localNews","Lokale Nachrichten","Lokalne vesti"
"news.localNewsAlternative","Lokale Neuigkeiten","Lokalne novosti"
"news.local","Lokal","Lokalno"
"news.readMore","Weiterlesen","Nastavite sa čitanjem"
"news.currentlyNoNews","Aktuell gibt es keine Nachrichten.","Trenutno nema nikakvih vesti."
"news.currentlyNoNewsAlternative","Aktuell gibt es keine Neuigkeiten.","Trenutno nema nikakvih novosti."
"offers.offers","Angebote","Ponude"
"search.searchPlaceholder","Suche","Pretraga"
"settings.sentryTitle","App-Stabilität","Stabilnost aplikacije"
"settings.sentryDescription","Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern","Automatskim slanjem izveštaja o padu sistema da se poboljša {{appName}"
"settings.pushNewsTitle","Push-Benachrichtigungen","Push notifikacije"
"settings.pushNewsDescription","Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten","Dobijati push notifikacije za najnovije lokalne vesti"
"settings.proposeCitiesTitle","Nahegelegene Orte","Mesta u blizini"
"settings.proposeCitiesDescription","Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten","Dobivati predloge za mesta u blizini pomoću moje GPS lokacije"
"settings.about","Über {{appName}}","Preko {{appName}}"
"settings.privacyPolicy","Datenschutzerklärung","Izjava o zaštiti podataka"
"settings.version","Version: {{version}}","Verzija: {{version}}"
"settings.openSourceLicenses","Open-Source-Lizenzen","Open source licence"
"snackbar.grantPermission","Erlauben","Dozvolite"
"snackbar.deactivateFeature","Feature deaktivieren","Deaktivirajte značajke"
"snackbar.locationPermissionMissing","Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich","Pristup lokaciji za predlaganje mesta u blizini"
"snackbar.pushNotificationPermissionMissing","Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich","Potrebna su ovlašćenja za slanje push notifikacija"
"snackbar.deactivate","Deaktivieren","Deaktivirajte"
"snackbar.coronaMessage","Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.","Aktuelne, naučne informacije ćete naći u Saveznoj centrali za pružanje informacija o zdravlju"
"snackbar.coronaUrl","https://www.infektionsschutz.de/coronavirus/","https://www.infektionsschutz.de/coronavirus/"
"snackbar.learnMore","Mehr Infos","Dodatne informacije"
"snackbar.dismiss","Schließen","Zatvorite"
"sprungbrett.noOffersAvailable","Keine Angebote verfügbar","Nema dosutpnih ponuda"
"wohnen.noOffersAvailable","Keine Angebote verfügbar.",
"wohnen.values.runningServices.heating","Heizung",
"wohnen.values.runningServices.water","Wasser/Abwasser",
"wohnen.values.runningServices.garbage","Müllabfuhr",
"wohnen.values.runningServices.chimney","Kaminkehrer",
"wohnen.values.runningServices.other","Sonstiges",
"wohnen.values.additionalServices.garage","Garage/Stellplatz",
"wohnen.values.additionalServices.other","Sonstiges",
"wohnen.values.rooms.kitchen","Küche",
"wohnen.values.rooms.bath","Bad",
"wohnen.values.rooms.wc","WC",
"wohnen.values.rooms.child1","Kinderzimmer 1",
"wohnen.values.rooms.child2","Kinderzimmer 2",
"wohnen.values.rooms.child3","Kinderzimmer 3",
"wohnen.values.rooms.bed","Schlafzimmer",
"wohnen.values.rooms.livingroom","Wohnzimmer",
"wohnen.values.rooms.hallway","Diele",
"wohnen.values.rooms.store","Abstellraum",
"wohnen.values.rooms.basement","Kellerraum",
"wohnen.values.rooms.balcony","Balkon / Terrasse",
