"key","source_language","target_language"
"app.pageTitles.search","Suche","ፈትሽ"
"app.pageTitles.events","Veranstaltungen","ኣጋጣሚታት"
"app.pageTitles.offers","Angebote","ውዕላት"
"app.pageTitles.landing","Ortsauswahl","ምምራጽ ቦታ"
"app.pageTitles.disclaimer","Impressum und Kontakt","ናይ ደራሲ ዝርዝራት ሓበሬታን ናይ ርክብን"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","ናይ ደራሲ ዝርዝራት ሓበሬታን ናይ ርክብን - {{appName}}"
"app.pageTitles.pois","Points of Interest","ዘገድሱ ነጥብታት"
"app.pageTitles.notFound","Seite nicht gefunden","ገጽ ኣይተረኽበን"
"app.pageTitles.tunews","tünews","tünews"
"app.pageTitles.localNews","Lokale Nachrichten","ዜና ውሽጢ  ዓዲ"
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} ናይ ጀርመን ዲጂታላዊ መምርሒኻ እዩ። ከባብያዊ ሓበሬታ፡ ኣጋጣሚታትን ምኽርን ርኸብ። ኩሉግዜ ዝተሓደሰን ብቋንቋኻን።"
"categories.createPdf","PDF erstellen","PDF ፍጠር"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","ሕማቕ ኣጋጣሚ ኮይኑ፡ ቋንቋኻ ኣብዚ የለን።"
"common.chooseALanguage","Wähle eine Sprache.","ቋንቋ ምረጽ።"
"common.lastUpdate","Letzte Änderung:","ናይ መወዳእታ እዋን ለውጢ፥"
"dashboard.localInformation","Lokale Informationen","ከባብያዊ ሓበሬታ"
"dashboard.offers","Angebote","ውዕላት"
"dashboard.events","Veranstaltungen","ኣጋጣሚታት"
"dashboard.news","Nachrichten","ዜና"
"dashboard.newsAlternative","Neuigkeiten","ዜና"
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዚ ቋንቋ’ዚ ኣብዚ የለን።"
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዛ ከተማ እዚኣ ኣይተረኽበትን።"
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዚ ገጽ’ዚ ኣይተረኽበን።"
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዚ ኣጋጣሚ እዚ ኣይተረኽበን።"
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዚ ኣቕርቦት’ዚ ኣይተረኽበን።"
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዚ ዘገድስ ነጥቢ እዚ ኣይተረኽበን።"
"error.pageNotFound","Diese Seite wurde leider nicht gefunden.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እዚ ገጽ’ዚ ኣይተረኽበን።"
"error.networkConnectionFailed","Die Verbindung zum Server ist fehlgeschlagen.","እቲ ርክብ ምስቲ ሰርቨር ኣይተዓወተን።"
"error.networkRequestFailed","Die Anfrage konnte nicht bearbeitet werden.","እቲ ጠለብ ክምስራሕ ኣይተኻልእለን።"
"error.responseMappingFailed","Die Antwort des Servers konnte nicht verarbeitet werden.","ናይቲ ሰርቨር ግብረመልሲ ክምስራሕ ኣይተኻእለን።"
"error.unknownError","Ein unbekannter Fehler ist aufgetreten.","ሓደ ዝተይተፈልጠ ጌጋ ተኸሲቱ ኣሎ።"
"error.tryAgain","Erneut versuchen","ደጊምካ ፈትን"
"error.loadingFailed","Die Seite konnte leider nicht geladen werden.","እቲ ገጽ ክጽዓን ኣይክኣለን።"
"error.chooseALanguage","Wähle eine Sprache:","ቋንቋ ምረጽ፥"
"error.goTo.start","Zur Startseite","ናብ ቀዳማይ ገጽ"
"error.goTo.categories","Zu den Kategorien","ናብቶም ምድባት"
"error.goTo.events","Zu den Veranstaltungen","ናብቶም ኣጋጣሚታት"
"error.goTo.offers","Zu den Angeboten","ብዛዕባ እቶም ኣቕርቦታት"
"error.pageTitle","Fehler","ጌጋ"
"error.generalError","Ein Fehler ist aufgetreten","ሓደ ጌጋ ተኸሲቱ ኣሎ"
"error.languageSwitchFailedTitle","Leider ist der Sprachwechsel fehlgeschlagen.","ሕማቕ ኣጋጣሚ ኮይኑ፡ እቲ ናይ ቋንቋ ለውጢ ኣይተዓወተን።"
"error.languageSwitchFailedMessage","Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.","እቲ ዝተመርጸ ቋንቋ ካብ መስመር ኢንተርነት ወጻኢ የለን። ንጡፍ ናይ ኢንተርነት መስመር ኣድላዪ እዩ።"
"events.location","Standort","ቦታ"
"events.date","Datum","ዕለት"
"events.events","Veranstaltungen","ኣጋጣሚታት"
"events.currentlyNoEvents","Es gibt aktuell keine Veranstaltungen.","ኣብዚ እዋን’ዚ ኣጋጣሚታት የለዉን።"
"feedback.technicalTopics","Technische Funktionen","ተክኒካዊ ተግባራት"
"feedback.contentOfCity","Inhalte von {{city}}","ትሕዝቶታት ናይ {{city}}"
"feedback.contentOfOffer","Angebot ""{{offer}}""","ኣቕርቦት “{{offer}}”"
"feedback.disclaimer","Kontakt und Impressum","ናይ ርክብ ሓበሬታን ናይ ደራሲ ዝርዝራት ሓበሬታን"
"feedback.searchFor","Suche nach","ነዚ ዝስዕብ ፈትሽ፡"
"feedback.contentOfPage","Inhalt der Seite ""{{page}}""","ትሕዝቶ ናይቲ ገጽ “{{page}}”"
"feedback.contentOfEvent","Inhalt der Veranstaltung ""{{event}}""","ትሕዝቶ ናይቲ ኣጋጣሚ “{{event}}”"
"feedback.send","Abschicken","ስደድ"
"feedback.failedSendingFeedback","Beim Senden des Feedbacks ist ein Fehler aufgetreten.","መልሰ-ሓበሬታ ኣብ ምስዳድ ጌጋ ነይሩ።"
"feedback.feedback","Feedback","መልሰ-ሓበሬታ"
"feedback.positiveComment","Was war hilfreich?","እንታይ ሓጋዚ ነይሩ፧"
"feedback.negativeComment","Was können wir besser machen?","ብዝሓሸ ክንገብሮ ንኽእል እንታይ እዩ፧"
"feedback.feedbackType","Wofür ist das Feedback?","እቲ መልሰ-ሓበሬታ ንምንታይ እዩ፧"
"feedback.isThisSiteUseful","Ist diese Seite hilfreich?","እዚ ገጽ’ዚ ሓግዚ ድዩ፧"
"feedback.useful","Hilfreich","ሓጋዚ"
"feedback.notUseful","Nicht hilfreich","ሓጋዚ ኣይኮነን"
"feedback.nothingFound","Es wurden leider keine passenden Ergebnisse gefunden.","ሕማቕ ኣጋጣሚ ኾይኑ ዝኾኑ ዝሰማምዑ ውጺኢታት ኣይተረኽቡን።"
"feedback.yourFeedback","Ihr Feedback...","መልሰ-ሓበሬታኻ..."
"feedback.informationNotFound","Nicht das Richtige gefunden?","ነቲ ቅኑዕ ኣይረኸቦን፧"
"feedback.wantedInformation","Welche Informationen fehlen hier?","እንታይ ሓበሬታ እዩ ኣብዚ ጎዲሉ ዘሎ፧"
"feedback.feedbackSent","Feedback abgeschickt","መልሰ-ሓበሬታ ተሰዲዱ"
"feedback.thanksMessage","Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.","ንመልሰ-ሓበሬታኻ ነመስግን። ንትሕዝቶና ከምኡ ድማ ነቲ ኣፕሊከሽን/ናይ ሞባይል ሶፍትዌር {{appName}} ንምምሕያሽ ትሕግዘና ኣለኻ። ተወሳኺ መልሰ-ሓበሬታ ደስ እናበለና ምተቐበልና።"
"feedback.close","Schließen","ዕጾ"
"feedback.negativeRating","Diese Seite ist nicht hilfreich","እዚ ገጽ’ዚ ሓጋዚ ኣይኮነን"
"feedback.positiveRating","Diese Seite ist hilfreich","እዚ ገጽ’ዚ ሓጋዚ እዩ"
"intro.integreat","{{appName}}","{{appName}}"
