key,source_language,target_language
app.pageTitles.search,Suche,Search
app.pageTitles.events,Veranstaltungen,Events
app.pageTitles.offers,Angebote,Offers
app.pageTitles.landing,Ortsauswahl,Location selection
app.pageTitles.disclaimer,Impressum und Kontakt,Imprint and contacts
app.pageTitles.mainDisclaimer,Impressum und Kontakt - {{appName}},Imprint and contacts - {{appName}}
app.pageTitles.pois,Points of Interest,Points of interest
app.pageTitles.notFound,Seite nicht gefunden,Page not located
app.pageTitles.tunews,tünews,tünews
app.pageTitles.localNews,Lokale Nachrichten,
app.metaDescription,"{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} is your digital guide to life in Germany. Discover local information, events and advice. Always up to date and available in your own language."
categories.createPdf,PDF erstellen,Create a PDF
common.languageNotAvailable,Deine Sprache ist hier leider nicht verfügbar.,"Sorry, but your language is not available here."
common.chooseALanguage,Wähle eine Sprache.,Choose a language.
common.lastUpdate,Letzte Änderung: ,Last update: 
dashboard.localInformation,Lokale Informationen,Local information
dashboard.offers,Angebote,Offers
dashboard.events,Veranstaltungen,Events
dashboard.news,Nachrichten,
dashboard.newsAlternative,Neuigkeiten,
error.notFound.language,Diese Sprache ist hier leider nicht verfügbar.,"Sorry, but this language is not available here."
error.notFound.city,Diese Stadt wurde leider nicht gefunden.,"Sorry, but this city could not be found."
error.notFound.category,Diese Seite wurde leider nicht gefunden.,"Sorry, but the requested page could not be found."
error.notFound.event,Dieses Event wurde leider nicht gefunden.,"Sorry, but this event could not be found."
error.notFound.offer,Dieses Angebot wurde leider nicht gefunden.,"Sorry, but this offer could not be found."
error.notFound.poi,Dieser Point of Interest wurde leider nicht gefunden.,"Sorry, but this point of interest could not be found."
error.pageNotFound,Diese Seite wurde leider nicht gefunden.,"Sorry, but the requested page could not be found."
error.networkConnectionFailed,Die Verbindung zum Server ist fehlgeschlagen.,The connection to the server failed.
error.networkRequestFailed,Die Anfrage konnte nicht bearbeitet werden.,The request could not be processed.
error.responseMappingFailed,Die Antwort des Servers konnte nicht verarbeitet werden.,An error occurred while processing the server's response.
error.unknownError,Ein unbekannter Fehler ist aufgetreten.,An unknown error occurred.
error.tryAgain,Erneut versuchen,Try again
error.loadingFailed,Die Seite konnte leider nicht geladen werden.,"Sorry, but the requested page could not be loaded."
error.chooseALanguage,Wähle eine Sprache:,Choose a language:
error.goTo.start,Zur Startseite,Go to the homepage
error.goTo.categories,Zu den Kategorien,Go to categories
error.goTo.events,Zu den Veranstaltungen,Go to events
error.goTo.offers,Zu den Angeboten,Go to offers
error.pageTitle,Fehler,Error
error.generalError,Ein Fehler ist aufgetreten,An error occurred
error.languageSwitchFailedTitle,Leider ist der Sprachwechsel fehlgeschlagen.,"Unfortunately, changing the language failed."
error.languageSwitchFailedMessage,Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.,The selected language is not available if you are offline. An active internet connection is required.
events.location,Standort,Location
events.date,Datum,Date
events.events,Veranstaltungen,Events
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,No events are currently available.
feedback.technicalTopics,Technische Funktionen,Technical functions
feedback.contentOfCity,Inhalte von {{city}},Contents of {{city}}
feedback.contentOfOffer,"Angebot ""{{offer}}""","Offer ""{{offer}}"""
feedback.disclaimer,Kontakt und Impressum,Contacts and imprint
feedback.searchFor,Suche nach,Search for
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""","Content of the page ""{{page}}"""
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""","Content of the event ""{{event}}"""
feedback.send,Abschicken,Send
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,An error occurred while sending the feedback.
feedback.feedback,Feedback,Feedback
feedback.positiveComment,Was war hilfreich?,What was helpful?
feedback.negativeComment,Was können wir besser machen?,What can we improve?
feedback.feedbackType,Wofür ist das Feedback?,What is the feedback for?
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,Is this site useful?
feedback.useful,Hilfreich,Useful
