"key","source_language","target_language"
"app.pageTitles.search","Suche","Recherche"
"app.pageTitles.events","Veranstaltungen","Événements"
"app.pageTitles.offers","Angebote","Offres"
"app.pageTitles.landing","Ortsauswahl","Sélection du lieu"
"app.pageTitles.disclaimer","Impressum und Kontakt","Mentions légales et contact"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","Mentions légales et contact - {{appName}}"
"app.pageTitles.pois","Points of Interest","Points d'intérêt"
"app.pageTitles.notFound","Seite nicht gefunden","Page introuvable"
"app.pageTitles.tunews","tünews","tünews"
"app.pageTitles.localNews","Lokale Nachrichten","Nouvelles locales"
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} est votre guide numérique pour l'Allemagne. Vous y trouverez des informations locales, des événements et des conseils, toujours à jour et dans votre langue."
"categories.createPdf","PDF erstellen","Créer PDF"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","Malheureusement, ta langue n'est pas disponible ici."
"common.chooseALanguage","Wähle eine Sprache.","Choisis une langue."
"common.lastUpdate","Letzte Änderung:","Dernière modification :"
"dashboard.localInformation","Lokale Informationen","Informations locales"
"dashboard.offers","Angebote","Offres"
"dashboard.events","Veranstaltungen","Événements"
"dashboard.news","Nachrichten","Nouvelles"
"dashboard.newsAlternative","Neuigkeiten","Nouveautés"
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","Malheureusement, cette langue n'est pas disponible ici."
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","Malheureusement, cette ville est introuvable."
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","Malheureusement, cette page est introuvable."
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","Malheureusement, cet événement est introuvable."
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","Malheureusement, cette offre est introuvable."
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","Malheureusement, ce point d'intérêt est introuvable."
"error.pageNotFound","Diese Seite wurde leider nicht gefunden.","Malheureusement, cette page est introuvable."
"error.networkConnectionFailed","Die Verbindung zum Server ist fehlgeschlagen.","Échec de la connexion au serveur."
"error.networkRequestFailed","Die Anfrage konnte nicht bearbeitet werden.","Impossible de traiter la demande."
"error.responseMappingFailed","Die Antwort des Servers konnte nicht verarbeitet werden.","Impossible de traiter la réponse du serveur."
"error.unknownError","Ein unbekannter Fehler ist aufgetreten.","Une erreur inconnue s'est produite."
"error.tryAgain","Erneut versuchen","Essayer à nouveau"
"error.loadingFailed","Die Seite konnte leider nicht geladen werden.","Malheureusement, la page n'a pas pu être chargée."
"error.chooseALanguage","Wähle eine Sprache:","Choisis une langue :"
"error.goTo.start","Zur Startseite","Vers la page de démarrage"
"error.goTo.categories","Zu den Kategorien","Vers les catégories"
"error.goTo.events","Zu den Veranstaltungen","Vers les événements"
"error.goTo.offers","Zu den Angeboten","Vers les offres"
"error.pageTitle","Fehler","Erreur"
"error.generalError","Ein Fehler ist aufgetreten","Une erreur s'est produite"
"error.languageSwitchFailedTitle","Leider ist der Sprachwechsel fehlgeschlagen.","Malheureusement, le changement de langue a échoué."
"error.languageSwitchFailedMessage","Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.","La langue sélectionnée n'est pas disponible hors ligne. Une connexion Internet active est requise."
"events.location","Standort","Lieu"
"events.date","Datum","Date"
"events.events","Veranstaltungen","Événements"
"events.currentlyNoEvents","Es gibt aktuell keine Veranstaltungen.","Il n'y a actuellement aucun événement."
"feedback.technicalTopics","Technische Funktionen","Fonctions techniques"
"feedback.contentOfCity","Inhalte von {{city}}","Contenu de {{city}}"
"feedback.contentOfOffer","Angebot ""{{offer}}""","Offre « {{offer}} »"
"feedback.disclaimer","Kontakt und Impressum","Contact et mentions légales"
"feedback.searchFor","Suche nach","Rechercher"
"feedback.contentOfPage","Inhalt der Seite ""{{page}}""","Contenu de la page « {{page}} »"
"feedback.contentOfEvent","Inhalt der Veranstaltung ""{{event}}""","Contenu de l'événement « {{event}} »"
"feedback.send","Abschicken","Envoyer"
"feedback.failedSendingFeedback","Beim Senden des Feedbacks ist ein Fehler aufgetreten.","Une erreur s'est produite lors de l'envoi de l'avis."
"feedback.feedback","Feedback","Avis"
"feedback.positiveComment","Was war hilfreich?","Qu'est-ce qui a été utile ?"
"feedback.negativeComment","Was können wir besser machen?","Que pouvons-nous améliorer ?"
"feedback.feedbackType","Wofür ist das Feedback?","À quoi sert de donner son avis ?"
"feedback.isThisSiteUseful","Ist diese Seite hilfreich?","Est-ce que cette page est utile ?"
"feedback.useful","Hilfreich","Utile"
"feedback.notUseful","Nicht hilfreich","Pas utile"
"feedback.nothingFound","Es wurden leider keine passenden Ergebnisse gefunden.","Malheureusement, nous n'avons trouvé aucun résultat."
"feedback.yourFeedback","Ihr Feedback...","Votre avis..."
"feedback.informationNotFound","Nicht das Richtige gefunden?","Vous n'avez pas trouvé ce qu'il vous faut ?"
"feedback.wantedInformation","Welche Informationen fehlen hier?","Quelles sont les informations manquantes ici ?"
"feedback.feedbackSent","Feedback abgeschickt","Avis envoyé"
"feedback.thanksMessage","Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.","Nous vous remercions d'avoir donné votre avis. Cela nous aidera à améliorer notre contenu et l'application {{appName}}. Nous serions heureux de recevoir d'autres commentaires."
"feedback.close","Schließen","Fermer"
"feedback.negativeRating","Diese Seite ist nicht hilfreich","Cette page n'est pas utile"
"feedback.positiveRating","Diese Seite ist hilfreich","Cette page est utile"
"intro.integreat","{{appName}}","{{appName}}"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Guide für Deutschland","{{appName}} est votre guide numérique pour l'Allemagne"
"intro.search","Suche","Recherche"
"intro.searchDescription","Anhand von Schlagwörtern schnell die richtige Information finden","Trouvez rapidement la bonne information à l'aide de mots-clés"
"intro.languageChange","Sprachwechsel","Changement de langue"
"intro.languageChangeDescription","Einfaches Umstellen der Sprache einzelner Seiten","Réglage facile de la langue des différentes pages"
"intro.events","Veranstaltungen","Événements"
"intro.eventsDescription","Aktuelle Veranstaltungen und Termine in der Umgebung","Actualités et rendez-vous dans les environs"
"intro.offers","Angebote","Offres"
"intro.offersDescription","Jobsuche, Praktikasuche und mehr in der Umgebung","Recherche d'emploi, recherche de stage et plus encore dans la région"
"intro.inquiryTitle","Einstellungen","Paramètres"
"intro.inquiryIntro","Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","En cliquant sur « {{accept}} », j'autorise l'application {{appName}}..."
"intro.sentryTitle","App-Stabilität","Stabilité de l'application"
"intro.sentryCondition","... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern","...à améliorer {{appName}} grâce à l'envoi automatique de rapports d'erreurs"
"intro.pushNewsTitle","Push-Benachrichtigungen","Notifications push"
"intro.pushNewsCondition","... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden","...à envoyer des notifications push sur l'actualité locale"
"intro.proposeCitiesTitle","Nahegelegene Orte","Lieux proches"
"intro.proposeCitiesCondition","... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen","...à me proposer des lieux proches grâce à ma géolocalisation"
"intro.skip","Überspringen","Passer"
"intro.next","Weiter","Suite"
"intro.cancel","Abbrechen","Annuler"
"intro.save","Speichern","Enregistrer"
"intro.customize","Anpassen","Modifier"
"intro.decline","Ablehnen","Refuser"
"intro.accept","Akzeptieren","Accepter"
"intro.privacyPolicy","Datenschutzerklärung","Déclaration de confidentialité"
"landing.searchCity","Ort suchen","Chercher un lieu"
"landing.nearbyPlaces","Orte in der Nähe","Lieux à proximité"
"landing.noNearbyPlaces","Keine Orte in der Nähe gefunden.","Aucun lieu trouvé à proximité."
"landing.alert","Hinweis","Remarque"
"landing.locationError","Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","Afin de pouvoir afficher les lieux à proximité, la géolocalisation doit être activée."
"landing.noPermission","Standortzugriff erforderlich","Accès au lieu requis"
"landing.loading","Bestimme Standort...","Définis le lieu ..."
"landing.notAvailable","Standortbestimmung deaktiviert","Localisation désactivée"
"landing.timeout","Standortbestimmung fehlgeschlagen","Échec de la localisation"
"landing.refresh","Liste der Orte aktualisieren","Actualiser la liste des lieux"
"layout.imprintAndContact","Impressum und Kontakt","Mentions légales et contact"
"layout.privacy","Datenschutz","Protection des données"
"layout.offers","Angebote","Offres"
"layout.localInformation","Lokale Informationen","Informations locales"
"layout.events","Veranstaltungen","Événements"
"layout.noEvents","Keine Veranstaltungen","Aucun événement"
"layout.news","Nachrichten","Nouvelles"
"layout.noLanguages","Nicht verfügbar in anderen Sprachen","Non disponible dans d'autres langues"
"layout.noTranslation","Keine Übersetzung verfügbar","Aucune traduction disponible"
"layout.search","Suchen","Rechercher"
"layout.changeLocation","Standort wechseln","Modifier le lieu"
"layout.changeLanguage","Sprache wechseln","Modifier la langue"
"layout.settings","Einstellungen","Paramètres"
"layout.share","Teilen","Partager"
"layout.cancel","Abbrechen","Annuler"
"layout.shareMessage","Gerade gefunden: {{message}}","Tout juste trouvé : {{message}}"
"layout.shareFailDefaultMessage","Das Teilen des Inhalts ist leider fehlgeschlagen.","Le partage du contenu a malheureusement échoué."
"layout.disclaimer","Impressum","Mentions légales"
"news.news","Nachrichten","Nouvelles"
"news.newsAlternative","Neuigkeiten","Nouvelles"
"news.localNews","Lokale Nachrichten","Nouvelles locales"
"news.localNewsAlternative","Lokale Neuigkeiten","Nouvelles locales"
"news.local","Lokal","Localement"
"news.readMore","Weiterlesen","Poursuivre la lecture"
"news.currentlyNoNews","Aktuell gibt es keine Nachrichten.","Aucune nouvelle pour l'instant"
"news.currentlyNoNewsAlternative","Aktuell gibt es keine Neuigkeiten.","Aucune nouveauté pour l'instant"
"offers.offers","Angebote","Offres"
"search.searchPlaceholder","Suche","Recherche"
"settings.sentryTitle","App-Stabilität","Stabilité de l'application"
