"key","source_language","target_language"
"app.pageTitles.events","Termine","المواعيد"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","تطبيق {{appName}} هو مُساعدك الرقمي المقدم من مؤسسة مالتيزر (Malteser). تجد هنا معلومات ومواعيد ومشورة محلية مُقدمة من مؤسستك. مُحدَّثة دائمًا وبلغتك!"
"dashboard.events","Termine","المواعيد"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","للأسف، لم يتم العثور على هذا الموعد."
"error.goTo.events","Zu den Terminen","إلى المواعيد"
"events.events","Termine","المواعيد"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","لا توجد مواعيد حاليًا."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","موضوع الموعد ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","تطبيق {{appName}} هو مُساعدك الرقمي المقدم من مؤسسة مالتيزر (Malteser)."
"intro.events","Termine","المواعيد"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","مواعيد وفعاليات حالية"
"layout.events","Termine","المواعيد"
"layout.noEvents","Keine Termine","لا توجد مواعيد"
