"key","source_language","target_language"
"app.pageTitles.events","Termine","Events"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} is your digital assistant from the Maltesers. Here you will find local information, events and advice from your institution. Always up-to-date and in your language!"
"dashboard.events","Termine","Events"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","Unfortunately this event was not found."
"error.goTo.events","Zu den Terminen","To the events"
"events.events","Termine","Events"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","There are currently no events."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","Topic of the ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} is your digital assistant from the Maltesers"
"intro.events","Termine","Events"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","Current dates and events"
"layout.events","Termine","Events"
"layout.noEvents","Keine Termine","No events"
