"key","source_language","target_language"
"app.pageTitles.events","Termine","رویدادها"
"app.metaDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!","{{appName}} یاور دیجیتال شما از مالتسر است. در اینجا می توانید اطلاعات محلی، تاریخ‌ها و توصیه‌های موسسه خود را پیدا کنید. همیشه به روز و به زبان شما!"
"dashboard.events","Termine","رویدادها"
"error.notFound.event","Dieser Termin wurde leider nicht gefunden.","متأسفانه این رویداد یافت نشد."
"error.goTo.events","Zu den Terminen","رفتن به رویداد"
"events.events","Termine","رویدادها"
"events.currentlyNoEvents","Es gibt aktuell keine Termine.","در حال حاضر هیچ رویدادی وجود ندارد."
"feedback.contentOfEvent","Inhalt des Termins ""{{event}}""","محتوای رویداد ""{{event}}"""
"intro.integreatDescription","{{appName}} ist Ihr digitaler Helfer von den Maltesern","{{appName}} یاور دیجیتال شما از مالتسر است"
"intro.events","Termine","رویدادها"
"intro.eventsDescription","Aktuelle Termine und Veranstaltungen","رویدادهای فعلی و مراسمات"
"layout.events","Termine","رویدادها"
"layout.noEvents","Keine Termine","هیچ رویدادی وجود ندارد"
