"key","source_language","target_language"
"app.pageTitles.search","Suche","Raadin"
"app.pageTitles.events","Veranstaltungen","Dhacdooyinka"
"app.pageTitles.offers","Angebote","Heshiisyo"
"app.pageTitles.landing","Ortsauswahl","Doorashada goobta"
"app.pageTitles.disclaimer","Impressum und Kontakt","Faahfaahinta qoraaga iyo macaluumaadkiisa xiriirka"
"app.pageTitles.mainDisclaimer","Impressum und Kontakt - {{appName}}","Faahfaahinta qoraaga iyo macaluumaadkiisa xiriirka - {{appName}}"
"app.pageTitles.pois","Points of Interest","Qodobbada xiisaha leh"
"app.pageTitles.notFound","Seite nicht gefunden","Bogga lama helin"
"app.pageTitles.tunews","tünews","tünews"
"app.pageTitles.localNews","Lokale Nachrichten","Wararka deegaanka"
"app.metaDescription","{{appName}} ist Ihr digitaler Guide für Deutschland. Finden Sie lokale Informationen, Veranstaltungen und Beratung. Immer aktuell und in Ihrer Sprache.","{{appName}} waa tusahaaga dijitaalka ah ee Jarmalka. Raadi macluumaadka deegaanka, dhacdooyin iyo talobixino. Had iyo jeer cusbooneysan/casriyeysan oo luuqadaada ah."
"categories.createPdf","PDF erstellen","Abuur PDF"
"common.languageNotAvailable","Deine Sprache ist hier leider nicht verfügbar.","Nasiib darro, luqaddaada halkan lagama heli karo."
"common.chooseALanguage","Wähle eine Sprache.","Dooro luuqad."
"common.lastUpdate","Letzte Änderung:","Bedelkii ugu dambeeyay:"
"dashboard.localInformation","Lokale Informationen","Macluumaadka deegaanka"
"dashboard.offers","Angebote","Heshiisyo"
"dashboard.events","Veranstaltungen","Dhacdooyinka"
"dashboard.news","Nachrichten","war"
"dashboard.newsAlternative","Neuigkeiten","war"
"error.notFound.language","Diese Sprache ist hier leider nicht verfügbar.","Nasiib darro, luuqadan halkan lagama heli karo."
"error.notFound.city","Diese Stadt wurde leider nicht gefunden.","Nasiib darro, magaaladan lama helin."
"error.notFound.category","Diese Seite wurde leider nicht gefunden.","Nasiib darro, boggan lama helin."
"error.notFound.event","Dieses Event wurde leider nicht gefunden.","Nasiib darro, dhacdadan lama helin."
"error.notFound.offer","Dieses Angebot wurde leider nicht gefunden.","Nasiib darro, dalabkan lama helin."
"error.notFound.poi","Dieser Point of Interest wurde leider nicht gefunden.","Nasiib darro, qodobkaan xiisaha leh lama helin."
"error.pageNotFound","Diese Seite wurde leider nicht gefunden.","Nasiib darro, boggan lama helin."
"error.networkConnectionFailed","Die Verbindung zum Server ist fehlgeschlagen.","Xiriirinta server-ka ayaa lagu guuldaraystay."
"error.networkRequestFailed","Die Anfrage konnte nicht bearbeitet werden.","Codsiga lagama shaqeysiin karin."
"error.responseMappingFailed","Die Antwort des Servers konnte nicht verarbeitet werden.","Jawaabta server-ka lagama shaqeysiin karin."
"error.unknownError","Ein unbekannter Fehler ist aufgetreten.","Khalad aan la aqoon ayaa dhacay."
"error.tryAgain","Erneut versuchen","Mar kale isku day"
"error.loadingFailed","Die Seite konnte leider nicht geladen werden.","Boggu waa la soo kicin kari waayey."
"error.chooseALanguage","Wähle eine Sprache:","Dooro luqad:"
"error.goTo.start","Zur Startseite","Aad bogga koowaad"
"error.goTo.categories","Zu den Kategorien","Aad Qaybaha"
"error.goTo.events","Zu den Veranstaltungen","Aad dhacdooyinka"
"error.goTo.offers","Zu den Angeboten","Ku saabsan dalabyada"
"error.pageTitle","Fehler","Qalad"
"error.generalError","Ein Fehler ist aufgetreten","Khalad ayaa dhacay"
"error.languageSwitchFailedTitle","Leider ist der Sprachwechsel fehlgeschlagen.","Nasiib darro, bedelidda luqadda ayaa lagu guuldareystay."
"error.languageSwitchFailedMessage","Die ausgewählte Sprache ist nicht offline verfügbar. Eine aktive Internetverbinding ist notwendig.","Luqadda aad dooratay laguma heli karo ofleen(offline) ahaan. Xiriir internet oo shaqeeya ayaa loo baahan yahay."
"events.location","Standort","Goobta"
"events.date","Datum","taariikhda"
"events.events","Veranstaltungen","Dhacdooyinka"
"events.currentlyNoEvents","Es gibt aktuell keine Veranstaltungen.","Waqti xaadirkan dhacdooyin ma jiraan."
"feedback.technicalTopics","Technische Funktionen","Hawlaha farsamada"
"feedback.contentOfCity","Inhalte von {{city}}","Tusmada {{city}}"
"feedback.contentOfOffer","Angebot ""{{offer}}""","Adeegga ""{{offer}}"""
"feedback.disclaimer","Kontakt und Impressum","Macluumaadka xiriirka iyo faahfaahinta qoraaga"
"feedback.searchFor","Suche nach","Raadi"
"feedback.contentOfPage","Inhalt der Seite ""{{page}}""","Nuxurka bogga ""{{page}}"""
"feedback.contentOfEvent","Inhalt der Veranstaltung ""{{event}}""","Nuxurka dhacdada ""{{event}}"""
"feedback.send","Abschicken","Dir"
"feedback.failedSendingFeedback","Beim Senden des Feedbacks ist ein Fehler aufgetreten.","Cillad ayaa ka jirtay soo diritaanka jawaab celinta."
"feedback.feedback","Feedback","Jawaab celin"
"feedback.positiveComment","Was war hilfreich?","Maxaa waxtar lahaa?"
"feedback.negativeComment","Was können wir besser machen?","Maxaan si ka sii fiican u qaban karnaa?"
"feedback.feedbackType","Wofür ist das Feedback?","Waa maxay jawaab celinta ku aadan?"
"feedback.isThisSiteUseful","Ist diese Seite hilfreich?","Boggan waxtar ma leeyahay?"
"feedback.useful","Hilfreich","Waxtar leh"
"feedback.notUseful","Nicht hilfreich","Aan waxtar lahayn"
"feedback.nothingFound","Es wurden leider keine passenden Ergebnisse gefunden.","Nasiib darro natiijooyin ku habboon lama helin."
"feedback.yourFeedback","Ihr Feedback...","Jawaab-celintaada..."
"feedback.informationNotFound","Nicht das Richtige gefunden?","Ma aanan helin midka saxda ah?"
"feedback.wantedInformation","Welche Informationen fehlen hier?","Macluumaad noocee ah ayaa halkan ka maqan?"
"feedback.feedbackSent","Feedback abgeschickt","Jawaab celinta waa la diray"
"feedback.thanksMessage","Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.","Waad ku mahadsan tahay jawaab-celintaada. Waxaad naga caawineysaa inaan hagaajino waxyaabaha ku jira aalada {{appName}}. Waxaan ku farxi laheyn inaan helno jawaab celin dheeraad ah."
"feedback.close","Schließen","Xidh"
"feedback.negativeRating","Diese Seite ist nicht hilfreich","Boggan waxtar ma leh"
"feedback.positiveRating","Diese Seite ist hilfreich","Boggan waa mid waxtar badan"
"intro.integreat","{{appName}}","{{appName}}"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Guide für Deutschland","{{appName}} waa tilmaamahaaga dhijitaalka ah ee Jarmalka"
"intro.search","Suche","Raadin"
"intro.searchDescription","Anhand von Schlagwörtern schnell die richtige Information finden","U hel macluumaadka saxda ah si dhakhso leh adoo isticmaalaya ereyada furaha ah"
"intro.languageChange","Sprachwechsel","Bedelka luqadda"
"intro.languageChangeDescription","Einfaches Umstellen der Sprache einzelner Seiten","Si fudud u beddel luqadda bog kasta"
"intro.events","Veranstaltungen","Dhacdooyinka"
"intro.eventsDescription","Aktuelle Veranstaltungen und Termine in der Umgebung","Dhacdooyinka hadda ah iyo taariikhaha ee ka jira deegaanka"
"intro.offers","Angebote","Heshiisyo"
"intro.offersDescription","Jobsuche, Praktikasuche und mehr in der Umgebung","Raadin shaqo, raadin shaqo-barasho iyo inbadan oo ka jira deegaanka"
"intro.inquiryTitle","Einstellungen","Dejinta (setting-ka)"
"intro.inquiryIntro","Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","Adigoo gujinaya ""{{accept}}"" Waxaan u oggolaanayaa aalada {{appName}} inay..."
"intro.sentryTitle","App-Stabilität","Deganaanshaha Aaladda"
"intro.sentryCondition","... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern","... si looga hagaajiyo {{appName}} dhanka diritaanka otomatigga ah ee warbixinnada ciladeynta"
"intro.pushNewsTitle","Push-Benachrichtigungen","Ogaysiisyada"
"intro.pushNewsCondition","... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden","... ii soo dirto ogeysiisyada saabsan wararkii ugu dambeeyay ee deegaanka"
"intro.proposeCitiesTitle","Nahegelegene Orte","Meelaha dhaw"
"intro.proposeCitiesCondition","... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen","... soo jeediso meelaha kuugu dhow adoo adeegsanaya “goobtayda GPS-ka”"
"intro.skip","Überspringen","Ka bood"
"intro.next","Weiter","Dheeraad ah"
"intro.cancel","Abbrechen","Jooji"
"intro.save","Speichern","keydi"
"intro.customize","Anpassen","Wax ka bedel"
"intro.decline","Ablehnen","Diid"
"intro.accept","Akzeptieren","Aqbal"
"intro.privacyPolicy","Datenschutzerklärung","Ilaalinta xogta"
"landing.searchCity","Ort suchen","Raadi Magaalo"
"landing.nearbyPlaces","Orte in der Nähe","Meelaha dhaw"
"landing.noNearbyPlaces","Keine Orte in der Nähe gefunden.","Ma jirin meel ku dhowdhow oo la heley."
"landing.alert","Hinweis","Ogeysiis"
"landing.locationError","Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","Adeegyada goobta waa in laga shaqeysiiyaa si loo arko meelaha kuu dhow."
"landing.noPermission","Standortzugriff erforderlich","Marin u helida goobta ayaa loo  baahan yahay"
"landing.loading","Bestimme Standort...","Raadinaya goobta..."
"landing.notAvailable","Standortbestimmung deaktiviert","Helitaanka goobta waa la demiyey"
"landing.timeout","Standortbestimmung fehlgeschlagen","Helitaanka goobta waa lagu guuldareystay"
"landing.refresh","Liste der Orte aktualisieren","Cusbooneysii liiska goobaha"
"layout.imprintAndContact","Impressum und Kontakt","Faahfaahinta qoraaga iyo macaluumaadkiisa xiriirka"
"layout.privacy","Datenschutz","Asturnaanta"
"layout.offers","Angebote","Heshiisyo"
"layout.localInformation","Lokale Informationen","Macluumaadka deegaanka"
"layout.events","Veranstaltungen","Dhacdooyinka"
"layout.noEvents","Keine Veranstaltungen","Ma jiraan dhacdooyin"
"layout.news","Nachrichten","war"
"layout.noLanguages","Nicht verfügbar in anderen Sprachen","Luuqad kale laguma heli karo"
"layout.noTranslation","Keine Übersetzung verfügbar","Turjumaad lama heli karo"
"layout.search","Suchen","Raadin"
"layout.changeLocation","Standort wechseln","Bedel goobta"
"layout.changeLanguage","Sprache wechseln","Bedel luuqadda"
