key,source_language,target_language
app.pageTitles.events,Termine,
app.metaDescription,"{{appName}} ist Ihr digitaler Helfer von den Maltesern. Hier finden Sie lokale Informationen, Termine und Beratung aus Ihrer Einrichtung. Immer aktuell und in Ihrer Sprache!",
dashboard.events,Termine,
error.notFound.event,Dieser Termin wurde leider nicht gefunden.,
error.goTo.events,Zu den Terminen,
events.events,Termine,
events.currentlyNoEvents,Es gibt aktuell keine Termine.,
feedback.contentOfEvent,"Inhalt des Termins ""{{event}}""",
intro.integreatDescription,{{appName}} ist Ihr digitaler Helfer von den Maltesern,
intro.events,Termine,
intro.eventsDescription,Aktuelle Termine und Veranstaltungen,
layout.events,Termine,
layout.noEvents,Keine Termine,
